Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G1 1AB,Yes,55.860737,-4.244422,259625,665339,NS596653,10/1/2017 12:00:00 AM,,20,,,"High Street",0.3,"",""
G1 1BA,No,55.860886,-4.241472,259810,665349,NS598653,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,34,,,"High Street",0.2,"",""
G1 1BL,Yes,55.858321,-4.243146,259696,665067,NS596650,9/1/1985 12:00:00 AM,,18,64,44,"High Street",0.2,"",""
G1 1BN,No,55.858354,-4.242797,259718,665070,NS597650,6/1/1996 12:00:00 AM,12/1/1996 12:00:00 AM,18,,,"High Street",0.2,"",""
G1 1BP,No,55.858343,-4.242924,259710,665069,NS597650,7/1/1992 12:00:00 AM,12/1/1994 12:00:00 AM,18,,,"High Street",0.2,"",""
G1 1BQ,Yes,55.859101,-4.249184,259321,665166,NS593651,3/1/2008 12:00:00 AM,,21,1,1,"Argyle Street",0.2,"",""
G1 1BX,No,55.86151,-4.246702,259485,665429,NS594654,6/1/1998 12:00:00 AM,8/1/2014 12:00:00 AM,32,,,"Glasgow Queen Street",0.3,"",""
G1 1BZ,No,55.860799,-4.24722,259450,665351,NS594653,12/1/1990 12:00:00 AM,7/1/2001 12:00:00 AM,26,,,"Glasgow Queen Street",0.3,"",""
G1 1DA,Yes,55.85976,-4.250948,259213,665243,NS592652,1/1/1980 12:00:00 AM,,26,0,0,"Glasgow Queen Street",0.3,"",""
G1 1DB,No,55.86028,-4.249076,259332,665297,NS593652,10/1/1994 12:00:00 AM,6/1/1996 12:00:00 AM,24,,,"Glasgow Queen Street",0.3,"",""
G1 1DD,No,55.860799,-4.24722,259450,665351,NS594653,6/1/1982 12:00:00 AM,5/1/2004 12:00:00 AM,26,,,"Glasgow Queen Street",0.3,"",""
