Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G1 1QF,Yes,55.859679,-4.240366,259875,665213,NS598652,1/1/1980 12:00:00 AM,,22,0,0,"High Street",0.0,"",""
G20 7SL,Yes,55.884454,-4.265841,258371,668021,NS583680,1/1/1980 12:00:00 AM,,59,35,17,"Possilpark and Parkhouse",0.8,"",""
G20 7SN,Yes,55.884612,-4.263628,258510,668034,NS585680,6/1/2003 12:00:00 AM,,57,62,22,"Possilpark and Parkhouse",0.7,"",""
G20 7SX,Yes,55.883896,-4.268815,258183,667965,NS581679,10/1/2015 12:00:00 AM,,58,,,"Possilpark and Parkhouse",0.9,"",""
G20 8BQ,No,55.890598,-4.267975,258260,668709,NS582687,8/1/1973 12:00:00 AM,8/1/1978 12:00:00 AM,53,,,"Possilpark and Parkhouse",0.6,"",""
G20 8BS,No,55.890794,-4.262229,258620,668719,NS586687,8/1/1973 12:00:00 AM,8/1/1978 12:00:00 AM,52,,,"Possilpark and Parkhouse",0.2,"",""
G20 8BT,No,55.890884,-4.262234,258620,668729,NS586687,8/1/1973 12:00:00 AM,8/1/1978 12:00:00 AM,53,,,"Possilpark and Parkhouse",0.2,"",""
G20 9AF,Yes,55.887796,-4.259754,258764,668381,NS587683,8/1/2016 12:00:00 AM,,47,,,"Possilpark and Parkhouse",0.3,"",""
G20 9LL,Yes,55.889094,-4.264257,258487,668534,NS584685,6/1/1998 12:00:00 AM,,53,21,11,"Possilpark and Parkhouse",0.4,"",""
G20 9LN,Yes,55.889664,-4.264034,258503,668597,NS585685,6/1/1998 12:00:00 AM,,51,50,28,"Possilpark and Parkhouse",0.3,"",""
G20 9NA,Yes,55.889766,-4.266791,258331,668614,NS583686,6/1/1997 12:00:00 AM,,52,54,26,"Possilpark and Parkhouse",0.5,"",""
G20 9NE,Yes,55.889169,-4.267028,258314,668548,NS583685,6/1/1997 12:00:00 AM,,55,27,10,"Possilpark and Parkhouse",0.5,"",""
G20 9NF,Yes,55.889024,-4.265596,258403,668529,NS584685,1/1/1980 12:00:00 AM,,55,23,8,"Possilpark and Parkhouse",0.5,"",""
G20 9NG,No,55.889261,-4.264458,258475,668553,NS584685,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,53,,,"Possilpark and Parkhouse",0.4,"",""
G20 9NH,No,55.88975,-4.265734,258397,668610,NS583686,1/1/1998 12:00:00 AM,7/1/1998 12:00:00 AM,52,,,"Possilpark and Parkhouse",0.5,"",""
G20 9NJ,Yes,55.890365,-4.267961,258260,668683,NS582686,6/1/1997 12:00:00 AM,,53,64,21,"Possilpark and Parkhouse",0.6,"",""
G20 9NL,Yes,55.890574,-4.268325,258238,668707,NS582687,6/1/1997 12:00:00 AM,,53,44,23,"Possilpark and Parkhouse",0.6,"",""
G20 9NP,No,55.89036,-4.266761,258335,668680,NS583686,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,51,,,"Possilpark and Parkhouse",0.5,"",""
G20 9NQ,No,55.888951,-4.265176,258429,668520,NS584685,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,56,,,"Possilpark and Parkhouse",0.4,"",""
G20 9NR,No,55.890549,-4.266261,258367,668700,NS583687,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,50,,,"Possilpark and Parkhouse",0.5,"",""
G20 9NS,No,55.890024,-4.264039,258504,668637,NS585686,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,50,,,"Possilpark and Parkhouse",0.3,"",""
G20 9NT,No,55.889659,-4.263826,258516,668596,NS585685,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,51,,,"Possilpark and Parkhouse",0.3,"",""
G20 9NU,Yes,55.889519,-4.263146,258558,668579,NS585685,1/1/1980 12:00:00 AM,,51,164,28,"Possilpark and Parkhouse",0.3,"",""
G20 9NX,No,55.889263,-4.263867,258512,668552,NS585685,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,52,,,"Possilpark and Parkhouse",0.3,"",""
G20 9NZ,Yes,55.888385,-4.261737,258642,668450,NS586684,3/1/2005 12:00:00 AM,,53,74,23,"Possilpark and Parkhouse",0.3,"",""
G20 9PA,No,55.888022,-4.259957,258752,668406,NS587684,1/1/1980 12:00:00 AM,4/1/2009 12:00:00 AM,50,,,"Possilpark and Parkhouse",0.3,"",""
G20 9PB,No,55.888022,-4.259957,258752,668406,NS587684,1/1/1980 12:00:00 AM,4/1/2009 12:00:00 AM,50,,,"Possilpark and Parkhouse",0.3,"",""
G20 9PD,No,55.886435,-4.257833,258879,668225,NS588682,1/1/1980 12:00:00 AM,5/1/2009 12:00:00 AM,50,,,"Possilpark and Parkhouse",0.4,"",""
G20 9PE,Yes,55.887041,-4.259564,258773,668296,NS587682,1/1/1980 12:00:00 AM,,50,16,10,"Possilpark and Parkhouse",0.4,"",""
G20 9PF,Yes,55.887481,-4.260565,258712,668347,NS587683,1/1/2004 12:00:00 AM,,52,73,47,"Possilpark and Parkhouse",0.3,"",""
G20 9PH,Yes,55.889732,-4.265733,258397,668608,NS583686,6/1/2002 12:00:00 AM,,52,62,22,"Possilpark and Parkhouse",0.5,"",""
G20 9PJ,Yes,55.890695,-4.266621,258345,668717,NS583687,6/1/2002 12:00:00 AM,,50,71,29,"Possilpark and Parkhouse",0.5,"",""
G20 9PL,Yes,55.891152,-4.268663,258219,668772,NS582687,12/1/2001 12:00:00 AM,,52,24,9,"Possilpark and Parkhouse",0.6,"",""
G20 9PN,Yes,55.890342,-4.264825,258456,668674,NS584686,6/1/2002 12:00:00 AM,,50,68,24,"Possilpark and Parkhouse",0.4,"",""
G21 1AA,Yes,55.874962,-4.224027,260952,666880,NS609668,2/1/1994 12:00:00 AM,,59,,,"Barnhill",0.3,"",""
G21 1AB,Yes,55.87339,-4.240085,259942,666738,NS599667,10/1/2019 12:00:00 AM,,61,,,"Springburn",1.1,"",""
G21 1AD,No,55.879511,-4.238357,260072,667415,NS600674,12/1/1996 12:00:00 AM,12/1/1998 12:00:00 AM,64,,,"Springburn",0.6,"",""
G21 1AE,Yes,55.880571,-4.236118,260216,667529,NS602675,2/1/1986 12:00:00 AM,,62,18,12,"Springburn",0.4,"",""
G21 1AF,Yes,55.880152,-4.23622,260208,667482,NS602674,1/1/1980 12:00:00 AM,,63,49,33,"Springburn",0.4,"",""
G21 1AG,Yes,55.879823,-4.236505,260189,667446,NS601674,1/1/1980 12:00:00 AM,,63,14,8,"Springburn",0.4,"",""
G21 1AJ,Yes,55.873236,-4.24014,259938,666721,NS599667,10/1/2019 12:00:00 AM,,64,,,"Springburn",1.1,"",""
G21 1AL,Yes,55.873579,-4.225198,260874,666729,NS608667,7/1/2009 12:00:00 AM,,60,0,0,"Barnhill",0.5,"",""
G21 1AN,No,55.88003,-4.2365,260190,667469,NS601674,8/1/1973 12:00:00 AM,3/1/1977 12:00:00 AM,63,,,"Springburn",0.4,"",""
G21 1AP,No,55.880728,-4.23766,260120,667549,NS601675,8/1/1973 12:00:00 AM,12/1/1979 12:00:00 AM,62,,,"Springburn",0.5,"",""
G21 1AQ,No,55.88012,-4.236506,260190,667479,NS601674,8/1/1973 12:00:00 AM,3/1/1977 12:00:00 AM,63,,,"Springburn",0.4,"",""
G21 1AR,No,55.880209,-4.236511,260190,667489,NS601674,8/1/1973 12:00:00 AM,3/1/1977 12:00:00 AM,63,,,"Springburn",0.4,"",""
G21 1AS,No,55.880299,-4.236516,260190,667499,NS601674,8/1/1973 12:00:00 AM,3/1/1977 12:00:00 AM,62,,,"Springburn",0.4,"",""
G21 1AT,No,55.880806,-4.238304,260080,667559,NS600675,12/1/1981 12:00:00 AM,8/1/1983 12:00:00 AM,62,,,"Springburn",0.5,"",""
G21 1AU,No,55.880389,-4.236521,260190,667509,NS601675,8/1/1973 12:00:00 AM,3/1/1977 12:00:00 AM,62,,,"Springburn",0.4,"",""
G21 1AW,Yes,55.880845,-4.237123,260154,667561,NS601675,2/1/1986 12:00:00 AM,,62,42,19,"Springburn",0.4,"",""
G21 1AY,Yes,55.881859,-4.23675,260181,667673,NS601676,10/1/1994 12:00:00 AM,,58,38,22,"Springburn",0.4,"",""
G21 1AZ,Yes,55.875875,-4.224255,260941,666982,NS609669,2/1/1994 12:00:00 AM,,57,,,"Barnhill",0.2,"",""
G21 1BA,Yes,55.880269,-4.236178,260211,667495,NS602674,6/1/1982 12:00:00 AM,,62,20,17,"Springburn",0.4,"",""
G21 1BG,Yes,55.881193,-4.237255,260147,667600,NS601676,6/1/1982 12:00:00 AM,,60,69,37,"Springburn",0.4,"",""
G21 1BJ,No,55.880438,-4.233806,260360,667509,NS603675,8/1/1973 12:00:00 AM,7/1/1981 12:00:00 AM,63,,,"Springburn",0.3,"",""
