Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G11 5AD,Yes,55.874753,-4.310022,255572,667033,NS555670,1/1/1980 12:00:00 AM,,34,43,22,"Partick",0.5,"",""
G11 5AL,Yes,55.875948,-4.309534,255607,667165,NS556671,1/1/1980 12:00:00 AM,,35,35,16,"Hyndland",0.5,"",""
G11 5AN,Yes,55.875317,-4.311095,255507,667098,NS555670,1/1/1980 12:00:00 AM,,28,43,18,"Hyndland",0.5,"",""
G11 5AS,Yes,55.876494,-4.313499,255361,667234,NS553672,1/1/1980 12:00:00 AM,,19,41,20,"Hyndland",0.4,"",""
G11 5AT,Yes,55.876191,-4.313865,255337,667201,NS553672,1/1/1980 12:00:00 AM,,18,0,0,"Hyndland",0.4,"",""
G11 5AU,Yes,55.874711,-4.312258,255432,667033,NS554670,1/1/1980 12:00:00 AM,,20,70,26,"Partick",0.6,"",""
G11 5AW,Yes,55.875601,-4.311751,255467,667131,NS554671,1/1/1980 12:00:00 AM,,24,68,25,"Hyndland",0.5,"",""
G11 5AX,Yes,55.875262,-4.312756,255403,667096,NS554670,1/1/1980 12:00:00 AM,,20,53,24,"Hyndland",0.5,"",""
G11 5AY,Yes,55.876025,-4.313135,255382,667181,NS553671,1/1/1980 12:00:00 AM,,20,119,46,"Hyndland",0.4,"",""
G11 5AZ,Yes,55.875668,-4.311741,255468,667139,NS554671,1/1/1980 12:00:00 AM,,22,5,3,"Hyndland",0.5,"",""
G11 5BB,No,55.875324,-4.311207,255500,667099,NS555670,12/1/1990 12:00:00 AM,7/1/1992 12:00:00 AM,27,,,"Hyndland",0.5,"",""
G11 5BS,No,55.875759,-4.317676,255097,667161,NS550671,10/1/1994 12:00:00 AM,5/1/2007 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 5BY,Yes,55.874018,-4.306574,255785,666944,NS557669,1/1/1980 12:00:00 AM,,39,41,19,"Partick",0.5,"",""
G11 5BZ,Yes,55.873674,-4.306233,255805,666905,NS558669,1/1/1980 12:00:00 AM,,35,83,37,"Partick",0.4,"",""
G11 5DA,Yes,55.873314,-4.306212,255805,666865,NS558668,1/1/1980 12:00:00 AM,,29,59,34,"Partick",0.4,"",""
G11 5DB,Yes,55.873023,-4.306403,255792,666833,NS557668,1/1/1980 12:00:00 AM,,25,39,24,"Partick",0.4,"",""
G11 5DD,Yes,55.872763,-4.306403,255791,666804,NS557668,1/1/1980 12:00:00 AM,,22,37,22,"Partick",0.4,"",""
G11 5DE,Yes,55.872551,-4.306167,255805,666780,NS558667,1/1/1980 12:00:00 AM,,19,70,41,"Partick",0.3,"",""
G11 5DF,No,55.873295,-4.306275,255801,666863,NS558668,2/1/1994 12:00:00 AM,2/1/1995 12:00:00 AM,29,,,"Partick",0.4,"",""
G11 5DH,No,55.873295,-4.306275,255801,666863,NS558668,12/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,29,,,"Partick",0.4,"",""
G11 5HT,No,55.876446,-4.313672,255350,667229,NS553672,12/1/1990 12:00:00 AM,7/1/1992 12:00:00 AM,19,,,"Hyndland",0.4,"",""
G11 5JZ,No,55.875759,-4.317676,255097,667161,NS550671,12/1/1996 12:00:00 AM,1/1/2004 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 5LL,Yes,55.870947,-4.309764,255574,666609,NS555666,1/1/1980 12:00:00 AM,,13,20,8,"Partick",0.1,"",""
G11 5LN,Yes,55.871319,-4.309083,255618,666649,NS556666,1/1/1980 12:00:00 AM,,10,71,42,"Partick",0.2,"",""
G11 5LP,Yes,55.873518,-4.309278,255614,666894,NS556668,1/1/1980 12:00:00 AM,,23,90,46,"Partick",0.4,"",""
G11 5LR,Yes,55.874209,-4.310725,255526,666974,NS555669,1/1/1980 12:00:00 AM,,24,9,3,"Partick",0.5,"",""
G11 5LS,Yes,55.873895,-4.312146,255436,666942,NS554669,1/1/1980 12:00:00 AM,,16,45,24,"Partick",0.5,"",""
G11 5LU,Yes,55.87229,-4.310531,255531,666760,NS555667,1/1/1980 12:00:00 AM,,12,126,63,"Partick",0.3,"",""
G11 5LW,Yes,55.871231,-4.308518,255653,666638,NS556666,1/1/1980 12:00:00 AM,,11,,,"Partick",0.1,"",""
G11 5LX,Yes,55.873753,-4.311082,255502,666924,NS555669,1/1/1980 12:00:00 AM,,18,100,62,"Partick",0.5,"",""
G11 5LY,Yes,55.871564,-4.310392,255537,666679,NS555666,1/1/1980 12:00:00 AM,,12,37,17,"Partick",0.2,"",""
G11 5ND,Yes,55.871139,-4.306723,255765,666624,NS557666,5/1/2008 12:00:00 AM,,11,0,0,"Partick",0.2,"",""
G11 5NN,Yes,55.872148,-4.306591,255777,666736,NS557667,1/1/1980 12:00:00 AM,,15,57,32,"Partick",0.3,"",""
G11 5NP,Yes,55.871404,-4.306498,255780,666653,NS557666,1/1/1980 12:00:00 AM,,11,52,29,"Partick",0.2,"",""
G11 5NR,Yes,55.87116,-4.306052,255807,666625,NS558666,1/1/1980 12:00:00 AM,,11,34,22,"Partick",0.2,"",""
G11 5NS,Yes,55.871583,-4.307005,255749,666674,NS557666,1/1/1980 12:00:00 AM,,11,84,53,"Partick",0.2,"",""
G11 5NU,Yes,55.871118,-4.307856,255694,666624,NS556666,1/1/1980 12:00:00 AM,,12,19,14,"Partick",0.1,"",""
G11 5NW,Yes,55.872004,-4.306134,255805,666719,NS558667,1/1/1980 12:00:00 AM,,14,57,33,"Partick",0.3,"",""
G11 5WB,No,55.875759,-4.317676,255097,667161,NS550671,12/1/2000 12:00:00 AM,12/1/2002 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 5WD,No,55.875759,-4.317676,255097,667161,NS550671,6/1/2001 12:00:00 AM,5/1/2007 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 5WF,No,55.875759,-4.317676,255097,667161,NS550671,6/1/2001 12:00:00 AM,5/1/2010 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 5WG,No,55.875759,-4.317676,255097,667161,NS550671,1/1/2002 12:00:00 AM,3/1/2002 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 5WH,No,55.875759,-4.317676,255097,667161,NS550671,12/1/2001 12:00:00 AM,5/1/2007 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 5YA,No,55.875759,-4.317676,255097,667161,NS550671,12/1/2002 12:00:00 AM,11/1/2007 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 5YJ,No,55.875687,-4.31772,255094,667153,NS550671,7/1/2014 12:00:00 AM,6/1/2019 12:00:00 AM,26,,,"Hyndland",0.5,"",""
G11 5YP,No,55.875759,-4.317676,255097,667161,NS550671,6/1/1998 12:00:00 AM,2/1/2009 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 5YS,No,55.875759,-4.317676,255097,667161,NS550671,1/1/2002 12:00:00 AM,3/1/2002 12:00:00 AM,25,,,"Hyndland",0.5,"",""
G11 5YT,No,55.875759,-4.317676,255097,667161,NS550671,6/1/1999 12:00:00 AM,5/1/2007 12:00:00 AM,25,,,"Hyndland",0.5,"",""
