Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G32 9AB,No,55.85622,-4.30432,255860,664959,NS558649,12/1/1990 12:00:00 AM,7/1/1992 12:00:00 AM,10,,,"Dumbreck",1.3,"",""
G41 5NY,Yes,55.840987,-4.30952,255478,663275,NS554632,1/1/1980 12:00:00 AM,,21,5,1,"Dumbreck",0.7,"",""
G46 7TB,Yes,55.799874,-4.323998,254418,658731,NS544587,1/1/1980 12:00:00 AM,,48,9,3,"Patterton",1.2,"",""
G46 7TD,Yes,55.79934,-4.324684,254373,658673,NS543586,1/1/1980 12:00:00 AM,,50,9,5,"Patterton",1.2,"",""
G46 7UH,Yes,55.795881,-4.334098,253770,658308,NS537583,5/1/2006 12:00:00 AM,,53,16,6,"Patterton",0.6,"",""
G46 7UL,Yes,55.795679,-4.334788,253726,658287,NS537582,5/1/2006 12:00:00 AM,,55,158,44,"Patterton",0.6,"",""
G46 7UN,Yes,55.796524,-4.330547,253995,658372,NS539583,6/1/1998 12:00:00 AM,,50,89,31,"Patterton",0.7,"",""
G46 7UP,Yes,55.796774,-4.329206,254080,658397,NS540583,12/1/1999 12:00:00 AM,,49,40,12,"Patterton",0.8,"",""
G46 7UR,Yes,55.79574,-4.33066,253985,658285,NS539582,6/1/1998 12:00:00 AM,,52,34,10,"Patterton",0.6,"",""
G46 7US,Yes,55.797423,-4.330505,254001,658472,NS540584,12/1/1999 12:00:00 AM,,50,35,10,"Patterton",0.8,"",""
G46 7UT,Yes,55.796375,-4.331256,253950,658357,NS539583,12/1/1998 12:00:00 AM,,51,27,9,"Patterton",0.7,"",""
G46 7UU,Yes,55.795062,-4.332262,253882,658213,NS538582,9/1/2005 12:00:00 AM,,55,36,12,"Patterton",0.5,"",""
G46 7UW,Yes,55.795151,-4.332762,253851,658224,NS538582,11/1/2005 12:00:00 AM,,55,36,11,"Patterton",0.5,"",""
G46 7UX,Yes,55.795684,-4.332666,253859,658283,NS538582,8/1/2005 12:00:00 AM,,53,94,26,"Patterton",0.6,"",""
G46 7UZ,Yes,55.797129,-4.327777,254171,658434,NS541584,1/1/1980 12:00:00 AM,,49,56,1,"Patterton",0.9,"",""
G46 8AA,Yes,55.80358,-4.33333,253847,659163,NS538591,1/1/1980 12:00:00 AM,,46,39,16,"Priesthill and Darnley",1.1,"",""
G46 8AB,Yes,55.804483,-4.334039,253806,659265,NS538592,1/1/1980 12:00:00 AM,,45,54,18,"Priesthill and Darnley",1.0,"",""
G46 8AD,Yes,55.804015,-4.33267,253890,659210,NS538592,1/1/1980 12:00:00 AM,,46,78,28,"Priesthill and Darnley",1.1,"",""
G46 8AE,Yes,55.803171,-4.331694,253948,659114,NS539591,1/1/1980 12:00:00 AM,,46,19,8,"Kennishead",1.2,"",""
G46 8AF,Yes,55.804098,-4.331143,253986,659216,NS539592,1/1/1980 12:00:00 AM,,43,70,31,"Kennishead",1.1,"",""
G46 8AG,Yes,55.80417,-4.332073,253928,659226,NS539592,1/1/1980 12:00:00 AM,,46,51,26,"Kennishead",1.1,"",""
G46 8AH,Yes,55.805956,-4.334111,253807,659429,NS538594,1/1/1980 12:00:00 AM,,43,94,40,"Priesthill and Darnley",0.9,"",""
G46 8AJ,Yes,55.80286,-4.329332,254095,659075,NS540590,3/1/2007 12:00:00 AM,,42,0,0,"Kennishead",1.2,"",""
G46 8AL,Yes,55.806249,-4.333841,253825,659461,NS538594,1/1/1980 12:00:00 AM,,44,123,50,"Priesthill and Darnley",0.9,"",""
G46 8AN,Yes,55.805577,-4.330865,254009,659380,NS540593,1/1/1980 12:00:00 AM,,39,34,15,"Kennishead",0.9,"",""
G46 8AP,Yes,55.805315,-4.330019,254061,659349,NS540593,1/1/1980 12:00:00 AM,,35,28,11,"Kennishead",0.9,"",""
G46 8AQ,Yes,55.804858,-4.332769,253887,659304,NS538593,1/1/1980 12:00:00 AM,,45,70,32,"Priesthill and Darnley",1.0,"",""
G46 8AR,Yes,55.805757,-4.329455,254098,659397,NS540593,1/1/1980 12:00:00 AM,,33,114,50,"Kennishead",0.9,"",""
G46 8AS,Yes,55.80637,-4.330306,254047,659467,NS540594,1/1/1980 12:00:00 AM,,36,49,28,"Kennishead",0.8,"",""
G46 8AT,No,55.806712,-4.329815,254079,659504,NS540595,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,33,,,"Kennishead",0.8,"",""
G46 8AU,Yes,55.803548,-4.32886,254127,659150,NS541591,8/1/2008 12:00:00 AM,,37,0,0,"Kennishead",1.1,"",""
G46 8AW,No,55.805935,-4.330471,254035,659419,NS540594,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,37,,,"Kennishead",0.9,"",""
