Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G2 1LQ,No,55.81857,-4.294271,256350,660749,NS563607,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,26,,,"Pollokshaws West",0.7,"",""
G41 2DD,Yes,55.833927,-4.276028,257549,662420,NS575624,1/1/1980 12:00:00 AM,,26,71,25,"Pollokshields West",0.4,"",""
G41 2DG,Yes,55.834022,-4.279659,257322,662438,NS573624,1/1/1980 12:00:00 AM,,26,148,71,"Crossmyloof",0.3,"",""
G41 2DL,Yes,55.833817,-4.282473,257145,662421,NS571624,1/1/1980 12:00:00 AM,,25,12,7,"Crossmyloof",0.1,"",""
G41 2DN,Yes,55.833712,-4.281812,257186,662408,NS571624,1/1/1980 12:00:00 AM,,27,74,47,"Crossmyloof",0.2,"",""
G41 2DP,Yes,55.833604,-4.278916,257367,662390,NS573623,1/1/1980 12:00:00 AM,,27,76,48,"Crossmyloof",0.3,"",""
G41 2DQ,No,55.833871,-4.28147,257208,662425,NS572624,1/1/1980 12:00:00 AM,3/1/2003 12:00:00 AM,27,,,"Crossmyloof",0.2,"",""
G41 2DW,Yes,55.833597,-4.280273,257282,662392,NS572623,1/1/1980 12:00:00 AM,,27,76,47,"Crossmyloof",0.3,"",""
G41 2DY,Yes,55.8335,-4.277728,257441,662376,NS574623,1/1/1980 12:00:00 AM,,29,76,46,"Crossmyloof",0.4,"",""
G41 2DZ,Yes,55.833035,-4.278563,257387,662326,NS573623,1/1/1980 12:00:00 AM,,31,68,42,"Crossmyloof",0.4,"",""
G41 2EA,Yes,55.83257,-4.279398,257333,662276,NS573622,1/1/1980 12:00:00 AM,,30,104,65,"Crossmyloof",0.3,"",""
G41 2EB,No,55.832856,-4.279974,257298,662309,NS572623,1/1/2002 12:00:00 AM,3/1/2002 12:00:00 AM,29,,,"Crossmyloof",0.3,"",""
G41 2ED,Yes,55.833159,-4.279624,257321,662342,NS573623,1/1/1980 12:00:00 AM,,28,23,16,"Crossmyloof",0.3,"",""
G41 2EE,Yes,55.833014,-4.280175,257286,662327,NS572623,1/1/1980 12:00:00 AM,,28,67,40,"Crossmyloof",0.3,"",""
G41 2EF,Yes,55.833106,-4.280773,257249,662339,NS572623,1/1/1980 12:00:00 AM,,28,24,15,"Crossmyloof",0.2,"",""
G41 2EG,Yes,55.83335,-4.280961,257238,662366,NS572623,1/1/1980 12:00:00 AM,,28,61,42,"Crossmyloof",0.2,"",""
G41 2EH,Yes,55.832427,-4.280859,257241,662263,NS572622,1/1/1980 12:00:00 AM,,29,49,32,"Crossmyloof",0.3,"",""
G41 2EJ,Yes,55.832801,-4.281504,257202,662306,NS572623,1/1/1980 12:00:00 AM,,28,37,22,"Crossmyloof",0.2,"",""
G41 2EL,Yes,55.833209,-4.282262,257156,662353,NS571623,1/1/1980 12:00:00 AM,,26,38,22,"Crossmyloof",0.2,"",""
G41 2EN,Yes,55.833557,-4.282905,257117,662393,NS571623,1/1/1980 12:00:00 AM,,25,45,29,"Crossmyloof",0.1,"",""
G41 2EP,No,55.833252,-4.281881,257180,662357,NS571623,2/1/1992 12:00:00 AM,12/1/1996 12:00:00 AM,27,,,"Crossmyloof",0.2,"",""
G41 2EQ,Yes,55.832754,-4.280638,257256,662299,NS572622,1/1/1980 12:00:00 AM,,29,63,38,"Crossmyloof",0.3,"",""
G41 2ER,No,55.832817,-4.279684,257316,662304,NS573623,6/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,29,,,"Crossmyloof",0.3,"",""
G41 2ES,No,55.832817,-4.279684,257316,662304,NS573623,7/1/1992 12:00:00 AM,12/1/1996 12:00:00 AM,29,,,"Crossmyloof",0.3,"",""
G41 2ET,Yes,55.833184,-4.276368,257525,662338,NS575623,1/1/1980 12:00:00 AM,,31,52,23,"Crossmyloof",0.5,"",""
G41 2EX,Yes,55.833384,-4.276747,257502,662361,NS575623,1/1/1980 12:00:00 AM,,29,52,36,"Crossmyloof",0.5,"",""
G41 2EY,Yes,55.833312,-4.277222,257472,662354,NS574623,1/1/1980 12:00:00 AM,,30,46,33,"Crossmyloof",0.4,"",""
G41 2EZ,Yes,55.832939,-4.277471,257455,662313,NS574623,1/1/1980 12:00:00 AM,,31,46,34,"Crossmyloof",0.4,"",""
G41 2HA,Yes,55.832452,-4.27778,257434,662260,NS574622,1/1/1980 12:00:00 AM,,33,35,22,"Crossmyloof",0.4,"",""
G41 2HB,No,55.832456,-4.277794,257433,662260,NS574622,6/1/1996 12:00:00 AM,12/1/1996 12:00:00 AM,33,,,"Crossmyloof",0.4,"",""
G41 2HD,No,55.832456,-4.277794,257433,662260,NS574622,1/1/1980 12:00:00 AM,5/1/2006 12:00:00 AM,33,,,"Crossmyloof",0.4,"",""
G41 2HE,Yes,55.832545,-4.278838,257368,662272,NS573622,1/1/1980 12:00:00 AM,,32,,,"Crossmyloof",0.4,"",""
G41 2HF,No,55.832278,-4.27871,257375,662242,NS573622,5/1/1993 12:00:00 AM,6/1/1997 12:00:00 AM,33,,,"Crossmyloof",0.4,"",""
G41 2HG,Yes,55.831967,-4.278516,257386,662207,NS573622,1/1/1980 12:00:00 AM,,35,26,18,"Crossmyloof",0.4,"",""
G41 2HJ,No,55.832067,-4.278937,257360,662219,NS573622,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,33,,,"Crossmyloof",0.4,"",""
G41 2HL,No,55.832067,-4.278937,257360,662219,NS573622,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,33,,,"Crossmyloof",0.4,"",""
G41 2HN,Yes,55.831953,-4.279234,257341,662207,NS573622,1/1/1980 12:00:00 AM,,33,26,18,"Crossmyloof",0.4,"",""
G41 2HP,Yes,55.832157,-4.28038,257270,662232,NS572622,1/1/1980 12:00:00 AM,,30,46,31,"Crossmyloof",0.3,"",""
G41 2HR,Yes,55.83168,-4.279442,257327,662177,NS573621,1/1/1980 12:00:00 AM,,32,35,20,"Crossmyloof",0.4,"",""
G41 2HS,No,55.831696,-4.279554,257320,662179,NS573621,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,32,,,"Crossmyloof",0.4,"",""
G41 2HW,Yes,55.832206,-4.27968,257314,662236,NS573622,1/1/1980 12:00:00 AM,,31,38,25,"Crossmyloof",0.3,"",""
G41 2HX,No,55.832527,-4.278326,257400,662269,NS574622,2/1/1992 12:00:00 AM,12/1/1994 12:00:00 AM,33,,,"Crossmyloof",0.4,"",""
G41 2QS,Yes,55.830981,-4.278347,257393,662097,NS573620,1/1/1980 12:00:00 AM,,31,19,12,"Crossmyloof",0.5,"",""
G41 2RD,Yes,55.840828,-4.277581,257477,663191,NS574631,1/1/1980 12:00:00 AM,,31,38,3,"Pollokshields West",0.4,"",""
G41 2TR,Yes,55.828097,-4.272941,257721,661765,NS577617,1/1/1980 12:00:00 AM,,36,40,22,"Mount Florida",0.8,"",""
G41 3AA,Yes,55.82962,-4.280998,257222,661951,NS572619,1/1/1980 12:00:00 AM,,29,64,28,"Crossmyloof",0.5,"",""
G41 3AB,Yes,55.829833,-4.280675,257243,661974,NS572619,1/1/1980 12:00:00 AM,,29,51,30,"Crossmyloof",0.5,"",""
G41 3AD,Yes,55.829624,-4.279785,257298,661949,NS572619,1/1/1980 12:00:00 AM,,28,52,30,"Crossmyloof",0.6,"",""
G41 3AE,Yes,55.829981,-4.279201,257336,661988,NS573619,1/1/1980 12:00:00 AM,,29,50,38,"Crossmyloof",0.5,"",""
G41 3AF,Yes,55.830496,-4.277855,257422,662042,NS574620,1/1/1980 12:00:00 AM,,29,47,24,"Crossmyloof",0.6,"",""
G41 3AG,Yes,55.829914,-4.278716,257366,661979,NS573619,1/1/1980 12:00:00 AM,,28,44,31,"Crossmyloof",0.6,"",""
G41 3AH,Yes,55.829105,-4.279211,257332,661890,NS573618,1/1/1980 12:00:00 AM,,27,43,29,"Crossmyloof",0.6,"",""
G41 3AJ,Yes,55.828882,-4.279581,257308,661866,NS573618,1/1/1980 12:00:00 AM,,27,49,39,"Crossmyloof",0.6,"",""
G41 3AL,Yes,55.828952,-4.280176,257271,661875,NS572618,1/1/1980 12:00:00 AM,,28,55,34,"Crossmyloof",0.6,"",""
G41 3AN,Yes,55.828629,-4.280173,257270,661839,NS572618,1/1/1980 12:00:00 AM,,27,54,34,"Pollokshaws East",0.6,"",""
G41 3AP,No,55.826268,-4.277113,257453,661570,NS574615,6/1/1984 12:00:00 AM,4/1/2005 12:00:00 AM,52,,,"Langside",0.6,"",""
G41 3AQ,Yes,55.829397,-4.279452,257318,661923,NS573619,1/1/1980 12:00:00 AM,,28,61,42,"Crossmyloof",0.6,"",""
G41 3AR,No,55.826438,-4.278576,257362,661592,NS573615,2/1/1992 12:00:00 AM,12/1/1996 12:00:00 AM,48,,,"Pollokshaws East",0.6,"",""
G41 3AS,Yes,55.823448,-4.277954,257390,661258,NS573612,7/1/1981 12:00:00 AM,,37,103,73,"Langside",0.3,"",""
G41 3AT,No,55.828524,-4.282898,257099,661833,NS570618,12/1/1995 12:00:00 AM,6/1/1998 12:00:00 AM,29,,,"Pollokshaws East",0.5,"",""
G41 3AU,Yes,55.827834,-4.273564,257681,661737,NS576617,1/1/1980 12:00:00 AM,,35,100,47,"Langside",0.8,"",""
G41 3AW,No,55.827101,-4.275294,257570,661659,NS575616,2/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,43,,,"Langside",0.7,"",""
G41 3AX,Yes,55.827102,-4.27523,257574,661659,NS575616,1/1/1980 12:00:00 AM,,45,104,40,"Langside",0.7,"",""
G41 3AY,Yes,55.828203,-4.274017,257654,661779,NS576617,1/1/1980 12:00:00 AM,,31,41,29,"Langside",0.8,"",""
G41 3AZ,Yes,55.827892,-4.274797,257604,661746,NS576617,1/1/1980 12:00:00 AM,,32,50,22,"Langside",0.8,"",""
G41 3BA,Yes,55.828292,-4.275076,257588,661791,NS575617,1/1/1980 12:00:00 AM,,29,83,23,"Langside",0.8,"",""
G41 3BB,No,55.829787,-4.28072,257240,661969,NS572619,5/1/1993 12:00:00 AM,2/1/1995 12:00:00 AM,29,,,"Crossmyloof",0.5,"",""
